val_rouge2,epoch,step
0.14935767650604248,0,1006
0.15976440906524658,1,2013
0.18666452169418335,2,3020
0.18497754633426666,3,4027
0.1547350436449051,4,5034
0.20862415432929993,5,6041
0.19719861447811127,6,7048
0.2142430543899536,7,8055
0.19969303905963898,8,9062
0.18686138093471527,9,10069
0.1869318038225174,10,11076
0.23067471385002136,11,12083
0.19517476856708527,12,13090
0.20630097389221191,13,14097
0.1959080845117569,14,15104
0.205341175198555,15,16111
0.19805948436260223,16,17118
0.19849909842014313,17,18125
0.20741231739521027,18,19132
0.21576018631458282,19,20139
0.20571862161159515,20,21146
0.19951406121253967,21,22153
0.21715083718299866,22,23160
0.2020666003227234,23,24167
0.20507782697677612,24,25174
0.20507782697677612,25,26181
0.20507782697677612,26,27188
0.20507782697677612,27,28195
0.20507782697677612,28,29202
0.20507782697677612,29,30209
0.20507782697677612,30,31216
0.20507782697677612,31,32223
0.20507782697677612,32,33230
0.20507782697677612,33,34237
0.20507782697677612,34,35244
0.20507782697677612,35,36251
0.20507782697677612,36,37258
0.20507782697677612,37,38265
0.20507782697677612,38,39272
0.20507782697677612,39,40279
0.20507782697677612,40,41286
0.20507782697677612,41,42293
0.20507782697677612,42,43300
0.20507782697677612,43,44307
0.20507782697677612,44,45314
0.20507782697677612,45,46321
0.20507782697677612,46,47328
0.20507782697677612,47,48335
0.20507782697677612,48,49342
0.20507782697677612,49,50349
