val_rouge2,epoch,step
0.5832429528236389,0,1006
0.5520076155662537,1,2013
0.5557148456573486,2,3020
0.62772536277771,3,4027
0.630759596824646,4,5034
0.5921088457107544,5,6041
0.6540811061859131,6,7048
0.6444266438484192,7,8055
0.6297990679740906,8,9062
0.6722614765167236,9,10069
0.6586230397224426,10,11076
0.6853030920028687,11,12083
0.7015049457550049,12,13090
0.6869812607765198,13,14097
0.6704586744308472,14,15104
0.6727960705757141,15,16111
0.6754318475723267,16,17118
0.6722429990768433,17,18125
0.7007424235343933,18,19132
0.6531214714050293,19,20139
0.6542500257492065,20,21146
0.6756024956703186,21,22153
0.6700531840324402,22,23160
0.6822140216827393,23,24167
0.6828566193580627,24,25174
0.6828566193580627,25,26181
0.6828566193580627,26,27188
0.6828566193580627,27,28195
0.6828566193580627,28,29202
0.6828566193580627,29,30209
0.6828566193580627,30,31216
0.6828566193580627,31,32223
0.6828566193580627,32,33230
0.6828566193580627,33,34237
0.6828566193580627,34,35244
0.6828566193580627,35,36251
0.6828566193580627,36,37258
0.6828566193580627,37,38265
0.6828566193580627,38,39272
0.6828566193580627,39,40279
0.6828566193580627,40,41286
0.6828566193580627,41,42293
0.6828566193580627,42,43300
0.6828566193580627,43,44307
0.6828566193580627,44,45314
0.6828566193580627,45,46321
0.6828566193580627,46,47328
0.6828566193580627,47,48335
0.6828566193580627,48,49342
0.6828566193580627,49,50349
