val_rouge2,epoch,step
0.04444444552063942,0,0
0.04444444552063942,1,1
0.04444444552063942,2,2
0.04444444552063942,3,3
0.04444444552063942,4,4
0.04444444552063942,5,5
0.04444444552063942,6,6
0.04444444552063942,7,7
0.02222222276031971,8,8
0.019999999552965164,9,9
0.0181818176060915,10,10
0.015384615398943424,11,11
0.015384615398943424,12,12
0.015384615398943424,13,13
0.02857142873108387,14,14
0.02857142873108387,15,15
0.014285714365541935,16,16
0.04095238074660301,17,17
0.026050420477986336,18,18
0.014285714365541935,19,19
0.0,20,20
0.0,21,21
0.0,22,22
0.0,23,23
0.015384615398943424,24,24
0.0,25,25
0.019999999552965164,26,26
0.019999999552965164,27,27
0.019999999552965164,28,28
0.019999999552965164,29,29
0.015384615398943424,30,30
0.013333333656191826,31,31
0.013333333656191826,32,32
0.013333333656191826,33,33
0.013333333656191826,34,34
0.013333333656191826,35,35
0.015384615398943424,36,36
0.015384615398943424,37,37
0.015384615398943424,38,38
0.0181818176060915,39,39
0.0181818176060915,40,40
0.0181818176060915,41,41
0.0181818176060915,42,42
0.0181818176060915,43,43
0.015384615398943424,44,44
0.015384615398943424,45,45
0.015384615398943424,46,46
0.015384615398943424,47,47
0.014285714365541935,48,48
0.015384615398943424,49,49
0.015384615398943424,50,50
0.015384615398943424,51,51
0.015384615398943424,52,52
0.019999999552965164,53,53
0.02222222276031971,54,54
0.0,55,55
0.0,56,56
0.0,57,57
0.0,58,58
0.0,59,59
0.0,60,60
0.0,61,61
0.0,62,62
0.0,63,63
0.019999999552965164,64,64
0.019999999552965164,65,65
0.0181818176060915,66,66
0.019999999552965164,67,67
0.019999999552965164,68,68
0.0181818176060915,69,69
0.0181818176060915,70,70
0.0181818176060915,71,71
0.0181818176060915,72,72
0.0181818176060915,73,73
0.0181818176060915,74,74
0.0181818176060915,75,75
0.0181818176060915,76,76
0.015384615398943424,77,77
0.015384615398943424,78,78
0.0181818176060915,79,79
0.0181818176060915,80,80
0.0181818176060915,81,81
0.0181818176060915,82,82
0.019999999552965164,83,83
0.019999999552965164,84,84
0.019999999552965164,85,85
0.019999999552965164,86,86
0.019999999552965164,87,87
0.019999999552965164,88,88
0.019999999552965164,89,89
0.0,90,90
0.0,91,91
0.0,92,92
0.0,93,93
0.019999999552965164,94,94
0.0181818176060915,95,95
0.0181818176060915,96,96
0.019999999552965164,97,97
0.019999999552965164,98,98
0.019999999552965164,99,99
